Ticker_Id,Indx_Members,Country,Year,Board size,Board independence,CEO duality,Board meeting attendance,Independence of audit committee,Auditor ratification,Independence of compensation committee,Independence of nomination committee,Shareholder approved poison pill,Dual class unequal voting rights of common shares,Staggered board,Diversity of board,Board duration,Corporate governance score,LogAsset,CAPEXByAsset,CashByAsset,DebtByAsset,PPNEByAsset,RNDByAsset
600000 CH,600000 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,14.60,0.00,0.13,0.18,0.00,NA
600008 CH,600008 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,9.73,-0.05,0.12,0.31,0.28,0.00
600009 CH,600009 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,1,7,9.77,-0.03,0.08,0.14,0.77,0.00
600010 CH,600010 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,10.65,-0.05,0.05,0.39,0.49,0.00
600015 CH,600015 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,13.85,0.00,0.14,0.21,0.01,NA
600016 CH,600016 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,1,10,14.42,0.00,0.22,0.15,0.00,NA
600018 CH,600018 CH Equity,China,2010,1,0,1,1,1,0,0,1,0,0,1,0,0,6,11.10,-0.05,0.10,0.20,0.51,0.00
600019 CH,600019 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,1,0,7,12.28,-0.06,0.04,0.29,0.63,0.00
600021 CH,600021 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,1,1,8,10.38,-0.07,0.06,0.45,0.66,0.00
600023 CH,600023 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.27,-0.08,0.09,0.42,0.62,0.00
600025 CH,600025 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.20,-0.18,0.01,0.61,0.97,NA
600028 CH,600028 CH Equity,China,2010,1,1,1,1,1,1,1,0,0,0,1,0,1,9,13.81,-0.11,0.02,0.21,0.65,0.00
600029 CH,600029 CH Equity,China,2010,1,1,1,1,1,1,0,1,0,0,1,0,0,8,11.62,-0.12,0.09,0.50,0.83,0.00
600030 CH,600030 CH Equity,China,2010,1,1,1,1,1,0,0,0,0,0,1,1,0,7,11.94,-0.01,0.52,0.06,0.02,0.00
600031 CH,600031 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,4,10.36,-0.14,0.19,0.32,0.33,0.02
600036 CH,600036 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,1,10,14.69,0.00,0.13,0.13,0.01,NA
600048 CH,600048 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,11.93,0.00,0.13,0.38,0.03,0.00
600050 CH,600050 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,13.00,-0.18,0.05,0.22,0.85,0.00
600060 CH,600060 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,4,9.43,-0.02,0.20,0.04,0.09,0.00
600061 CH,600061 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,1,7,6.86,-0.04,0.13,0.15,0.30,0.00
600066 CH,600066 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,8.88,-0.13,0.13,0.26,0.19,0.03
600068 CH,600068 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,0,5,10.91,-0.06,0.11,0.42,0.20,0.00
600079 CH,600079 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,8.35,-0.07,0.11,0.23,0.22,0.01
600085 CH,600085 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,8.72,-0.02,0.33,0.03,0.17,0.00
600089 CH,600089 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.07,-0.09,0.27,0.17,0.34,0.01
600100 CH,600100 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,10.12,-0.06,0.20,0.29,0.18,0.00
600104 CH,600104 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,12.56,-0.04,0.21,0.16,0.16,0.01
600109 CH,600109 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,1,6,9.31,0.00,0.78,0.00,0.00,0.00
600111 CH,600111 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,0,1,6,9.08,-0.02,0.18,0.34,0.27,0.00
600115 CH,600115 CH Equity,China,2010,1,0,1,1,1,1,0,1,0,0,1,0,1,8,11.55,-0.06,0.03,0.56,0.68,0.00
600118 CH,600118 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,8.30,-0.04,0.49,0.02,0.07,0.00
600153 CH,600153 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,1,7,10.63,-0.02,0.05,0.46,0.08,0.00
600155 CH,600155 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.74,-0.06,0.09,3.23,0.71,0.00
600158 CH,600158 CH Equity,China,2010,1,0,0,1,0,0,0,0,0,0,1,0,0,3,8.20,0.00,0.26,0.11,0.08,0.00
600177 CH,600177 CH Equity,China,2010,1,0,1,1,1,0,1,1,0,0,1,0,1,8,10.78,-0.02,0.09,0.38,0.10,0.00
600196 CH,600196 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,9.73,-0.02,0.19,0.28,0.12,0.01
600208 CH,600208 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.26,0.00,0.14,0.39,0.02,0.00
600219 CH,600219 CH Equity,China,2010,1,0,1,1,0,0,1,0,0,0,1,1,1,7,9.85,-0.07,0.19,0.07,0.60,0.00
600266 CH,600266 CH Equity,China,2010,1,1,1,1,1,0,0,0,0,0,1,1,1,8,9.80,0.00,0.14,0.22,0.02,0.00
600271 CH,600271 CH Equity,China,2010,1,0,0,1,0,0,0,0,0,0,1,0,1,4,8.78,-0.03,0.58,0.02,0.13,0.01
600276 CH,600276 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,8.27,-0.07,0.26,0.01,0.21,0.00
600291 CH,600291 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600297 CH,600297 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.45,-0.07,0.17,0.39,0.33,NA
600298 CH,600298 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98,-0.11,0.06,0.36,0.64,NA
600309 CH,600309 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,0,6,9.47,-0.10,0.07,0.39,0.59,0.00
600332 CH,600332 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,0,1,9,8.41,-0.02,0.16,0.03,0.26,0.02
600340 CH,600340 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,9.68,0.00,0.17,0.15,0.02,0.00
600362 CH,600362 CH Equity,China,2010,1,0,0,1,1,1,1,0,0,0,1,1,1,8,10.91,-0.05,0.07,0.18,0.33,0.00
600373 CH,600373 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54,-0.04,0.12,0.11,0.39,0.00
600383 CH,600383 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,1,0,7,11.20,0.00,0.18,0.33,0.02,0.00
600406 CH,600406 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,8.48,-0.02,0.31,0.04,0.08,0.00
600435 CH,600435 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,1,1,8,8.22,-0.03,0.13,0.14,0.26,NA
600436 CH,600436 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,7.28,-0.03,0.16,0.09,0.16,0.01
600438 CH,600438 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,-0.08,0.07,0.41,0.53,0.01
600466 CH,600466 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.36,-0.03,0.12,0.01,0.46,0.01
600482 CH,600482 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.01,-0.03,0.10,0.38,0.36,0.01
600489 CH,600489 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,9.64,-0.11,0.08,0.28,0.41,0.00
600497 CH,600497 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,9.33,-0.17,0.10,0.39,0.52,0.00
600503 CH,600503 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.91,0.00,0.16,0.44,0.00,0.00
600516 CH,600516 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,8.74,-0.04,0.17,0.37,0.31,0.00
600518 CH,600518 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.01,-0.09,0.34,0.35,0.38,0.00
600519 CH,600519 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,1,7,10.15,-0.07,0.50,0.00,0.19,0.00
600522 CH,600522 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.46,-0.12,0.11,0.32,0.27,0.01
600528 CH,600528 CH Equity,China,2010,1,0,1,0,1,0,0,0,0,0,1,0,1,5,10.37,-0.02,0.06,0.29,0.08,0.00
600535 CH,600535 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,8.60,-0.03,0.24,0.29,0.29,0.00
600547 CH,600547 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,9.17,-0.10,0.07,0.33,0.47,0.00
600549 CH,600549 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,9.39,-0.04,0.06,0.18,0.25,0.01
600570 CH,600570 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,7.38,-0.01,0.24,0.11,0.08,0.02
600585 CH,600585 CH Equity,China,2010,1,0,1,1,1,1,1,1,0,0,1,0,1,9,11.01,-0.15,0.04,0.24,0.68,0.00
600588 CH,600588 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47,-0.07,0.29,0.07,0.25,NA
600598 CH,600598 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,9.80,-0.04,0.07,0.45,0.34,0.00
600606 CH,600606 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,1,7,8.40,-0.01,0.16,0.47,0.12,0.00
600637 CH,600637 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,0,6,7.58,-0.04,0.34,0.00,0.08,0.00
600643 CH,600643 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,0,5,7.51,0.00,0.20,0.16,0.07,0.00
600649 CH,600649 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.17,-0.02,0.11,0.36,0.05,0.00
600660 CH,600660 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,9.27,-0.10,0.01,0.33,0.60,0.01
600688 CH,600688 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,0,5,10.26,-0.05,0.00,0.16,0.54,0.00
600690 CH,600690 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.37,-0.04,0.33,0.18,0.16,0.00
600699 CH,600699 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.02,-0.14,0.11,0.19,0.40,0.00
600703 CH,600703 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,0,6,8.70,-0.47,0.32,0.07,0.55,0.00
600704 CH,600704 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,9.83,-0.02,0.13,0.40,0.09,0.00
600705 CH,600705 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.21,0.00,0.89,0.00,0.02,0.00
600715 CH,600715 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30,0.00,0.10,0.14,0.43,0.00
600737 CH,600737 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,1,6,9.04,-0.03,0.02,0.51,0.42,0.00
600739 CH,600739 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,9.23,-0.08,0.05,0.12,0.20,0.00
600741 CH,600741 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,10.51,-0.04,0.28,0.07,0.14,0.02
600760 CH,600760 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08,-0.11,0.11,0.31,0.47,0.00
600795 CH,600795 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,0,4,11.94,-0.17,0.01,0.63,0.83,0.00
600804 CH,600804 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,1,0,6,8.37,-0.10,0.31,0.07,0.26,0.00
600809 CH,600809 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,0,1,7,8.15,-0.05,0.31,0.02,0.16,0.00
600816 CH,600816 CH Equity,China,2010,1,0,0,1,0,0,0,0,0,0,1,1,0,4,6.53,-0.01,0.38,0.04,0.01,0.00
600827 CH,600827 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,10.49,-0.04,0.32,0.10,0.40,0.00
600837 CH,600837 CH Equity,China,2010,1,0,1,1,1,0,1,1,0,0,1,0,0,7,11.66,0.00,0.50,0.03,0.01,0.00
600867 CH,600867 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.69,-0.03,0.03,0.15,0.54,0.00
600884 CH,600884 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83,-0.03,0.11,0.28,0.19,0.01
600886 CH,600886 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,11.52,-0.13,0.01,0.77,0.90,0.00
600887 CH,600887 CH Equity,China,2010,1,0,0,1,0,0,0,0,0,0,1,1,1,5,9.64,-0.13,0.21,0.19,0.44,0.00
600893 CH,600893 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,1,7,9.01,-0.03,0.17,0.29,0.27,0.01
600895 CH,600895 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,1,6,9.76,0.00,0.19,0.51,0.27,0.00
600900 CH,600900 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,4,11.97,-0.07,0.01,0.56,0.86,0.00
600909 CH,600909 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
600919 CH,600919 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.97,0.00,0.17,0.09,0.01,NA
600926 CH,600926 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.29,0.00,0.16,0.23,0.00,NA
600958 CH,600958 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
600977 CH,600977 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
600999 CH,600999 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,11.47,0.00,0.45,0.10,0.01,0.00
601006 CH,601006 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,0,1,4,11.51,-0.04,0.10,0.26,0.72,0.00
601009 CH,601009 CH Equity,China,2010,1,1,1,0,0,0,0,0,0,0,1,0,0,4,12.31,0.00,0.11,0.26,0.01,NA
601012 CH,601012 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.67,-0.28,0.27,0.22,0.51,0.00
601018 CH,601018 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,0,5,10.45,-0.09,0.23,0.16,0.53,0.00
601088 CH,601088 CH Equity,China,2010,1,1,1,1,1,1,0,1,0,0,1,1,1,10,12.83,-0.09,0.21,0.18,0.62,0.00
601099 CH,601099 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,8.68,0.00,0.63,0.12,0.02,0.00
601108 CH,601108 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601111 CH,601111 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,1,7,11.98,-0.06,0.09,0.54,0.62,0.00
601116 CH,601116 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.53,-0.05,0.17,0.00,0.34,NA
601117 CH,601117 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.46,-0.02,0.38,0.05,0.15,0.01
601155 CH,601155 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601166 CH,601166 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,14.43,0.00,0.16,0.32,0.00,NA
601169 CH,601169 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,13.51,0.00,0.14,0.17,0.00,NA
601186 CH,601186 CH Equity,China,2010,1,1,1,1,1,1,1,0,0,0,1,0,1,9,12.77,-0.05,0.19,0.15,0.12,0.03
601198 CH,601198 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601211 CH,601211 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601212 CH,601212 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601216 CH,601216 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.43,-0.08,0.04,0.57,0.74,0.00
601225 CH,601225 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10.90,-0.13,0.17,0.20,0.50,0.00
601228 CH,601228 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601229 CH,601229 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601238 CH,601238 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.56,-0.04,0.24,0.23,0.10,0.00
601288 CH,601288 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,1,7,16.15,0.00,0.20,0.06,0.01,NA
601318 CH,601318 CH Equity,China,2010,1,1,0,1,1,1,1,1,0,0,1,1,1,10,13.97,0.00,0.12,0.13,0.01,NA
601328 CH,601328 CH Equity,China,2010,1,0,1,1,1,1,0,0,0,0,1,1,0,7,15.19,0.00,0.15,0.20,0.01,NA
601336 CH,601336 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.63,0.00,0.09,0.08,0.01,NA
601360 CH,601360 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96,-0.10,0.29,0.06,0.22,NA
601375 CH,601375 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601377 CH,601377 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.33,0.00,0.45,0.03,0.02,0.00
601390 CH,601390 CH Equity,China,2010,1,1,1,1,1,1,1,1,0,0,1,0,1,10,12.88,-0.02,0.14,0.22,0.12,0.01
601398 CH,601398 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,1,10,16.42,0.00,0.17,0.09,0.01,NA
601555 CH,601555 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.90,-0.01,0.81,0.02,0.02,0.00
601600 CH,601600 CH Equity,China,2010,1,1,0,0,1,0,1,1,0,0,1,0,1,7,11.86,-0.06,0.06,0.49,0.66,0.00
601601 CH,601601 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,1,10,13.07,0.00,0.03,0.02,0.01,NA
601607 CH,601607 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,10.31,-0.02,0.21,0.24,0.17,NA
601611 CH,601611 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.95,-0.05,0.18,0.21,0.20,0.01
601618 CH,601618 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,0,1,9,12.57,-0.03,0.14,0.37,0.17,0.01
601628 CH,601628 CH Equity,China,2010,1,1,1,1,1,1,0,1,0,1,0,1,1,10,14.16,0.00,0.03,0.02,0.01,NA
601633 CH,601633 CH Equity,China,2010,1,1,1,1,1,0,0,0,0,0,1,1,1,8,10.07,-0.14,0.13,0.14,0.35,0.02
601668 CH,601668 CH Equity,China,2010,1,0,0,1,0,0,0,0,0,0,1,0,0,3,12.89,-0.04,0.21,0.22,0.06,0.00
601669 CH,601669 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.71,-0.08,0.11,0.40,0.36,0.00
601688 CH,601688 CH Equity,China,2010,1,0,1,0,0,0,0,0,0,0,1,1,1,5,11.64,0.00,0.52,0.02,0.01,0.00
601699 CH,601699 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,0,1,5,10.29,-0.16,0.20,0.22,0.30,0.03
601718 CH,601718 CH Equity,China,2010,1,0,1,1,1,0,0,0,0,0,1,0,1,6,9.59,-0.01,0.39,0.03,0.24,0.00
601727 CH,601727 CH Equity,China,2010,1,1,0,1,1,0,0,0,0,0,1,1,1,7,11.49,-0.03,0.19,0.02,0.15,0.02
601766 CH,601766 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,0,1,9,11.21,-0.08,0.19,0.14,0.29,0.03
601788 CH,601788 CH Equity,China,2010,1,0,1,1,1,0,1,1,0,0,1,1,1,9,11.00,0.00,0.53,0.00,0.02,0.00
601800 CH,601800 CH Equity,China,2010,1,1,1,0,1,1,0,0,0,0,1,0,1,7,12.65,-0.03,0.12,0.26,0.19,0.01
601818 CH,601818 CH Equity,China,2010,1,1,1,1,0,0,0,0,0,0,1,1,0,6,14.21,0.00,0.13,0.16,0.01,NA
601828 CH,601828 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601838 CH,601838 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601857 CH,601857 CH Equity,China,2010,1,1,1,1,1,1,0,0,0,0,1,0,1,8,14.32,-0.16,0.03,0.14,0.77,0.01
601878 CH,601878 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601881 CH,601881 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.45,0.00,0.59,0.00,0.01,0.00
601888 CH,601888 CH Equity,China,2010,1,0,1,1,1,0,1,0,0,0,1,0,1,7,8.78,-0.03,0.58,0.03,0.09,0.00
601899 CH,601899 CH Equity,China,2010,1,0,1,1,0,1,0,0,0,0,1,0,1,6,10.56,-0.10,0.07,0.20,0.46,0.00
601901 CH,601901 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10.24,-0.01,0.61,0.00,0.01,0.00
601919 CH,601919 CH Equity,China,2010,1,0,0,1,0,1,0,0,0,0,0,1,1,5,11.92,-0.06,0.31,0.40,0.46,0.00
601933 CH,601933 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,8.81,-0.14,0.39,0.16,0.19,0.00
601939 CH,601939 CH Equity,China,2010,1,1,1,1,1,1,1,1,0,0,1,1,1,11,16.20,0.00,0.17,0.08,0.01,NA
601985 CH,601985 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
601988 CH,601988 CH Equity,China,2010,1,1,1,1,1,1,1,0,0,1,1,1,1,11,16.16,0.00,0.16,0.17,0.01,NA
601989 CH,601989 CH Equity,China,2010,1,0,1,1,0,0,0,0,0,0,1,1,1,6,11.91,-0.02,0.50,0.28,0.20,0.00
601992 CH,601992 CH Equity,China,2010,1,0,1,1,1,1,1,1,0,0,1,0,1,9,11.04,-0.09,0.08,0.35,0.44,0.00
601997 CH,601997 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.06,0.00,0.20,0.02,0.01,NA
601998 CH,601998 CH Equity,China,2010,1,1,1,1,1,0,1,1,0,0,1,1,0,9,14.55,0.00,0.12,0.09,0.01,NA
603160 CH,603160 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
603260 CH,603260 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603305 CH,603305 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
603589 CH,603589 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
603659 CH,603659 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603799 CH,603799 CH Equity,China,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603858 CH,603858 CH Equity,China,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
603993 CH,603993 CH Equity,China,2010,1,1,1,1,1,1,0,1,0,0,1,0,1,9,9.56,-0.05,0.20,0.06,0.39,NA
ABB IB,ABB IB Equity,India,2010,1,0,1,1,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
ACC IB,ACC IB Equity,India,2010,1,0,1,1,0,0,0,0,0,0,0,0,0,3,11.61,-0.08,0.10,0.05,0.62,0.00
ACEM IB,ACEM IB Equity,India,2010,1,1,1,1,1,0,1,1,0,1,0,0,1,9,11.54,-0.08,0.17,0.01,0.62,0.00
ADSEZ IB,ADSEZ IB Equity,India,2010,1,1,0,1,1,0,1,0,0,1,0,0,1,7,11.38,-0.22,0.08,0.43,0.76,0.00
AL IB,AL IB Equity,India,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.44,-0.07,0.06,0.31,0.51,0.03
APHS IB,APHS IB Equity,India,2010,1,1,1,1,1,0,1,1,0,1,0,1,1,10,10.39,-0.12,0.10,0.28,0.48,0.00
APNT IB,APNT IB Equity,India,2010,1,1,1,1,1,0,1,0,0,1,0,1,1,9,10.54,-0.10,0.03,0.06,0.33,0.01
ARBP IB,ARBP IB Equity,India,2010,1,1,1,1,1,1,0,0,0,1,0,0,1,8,10.78,-0.09,0.02,0.45,0.45,0.02
